Serial Number,Tender ID,Page Number,Title,E-Published Date,Organisation,Closing Date,Link
1,2025_PWD_24706_1,1,"[Supply, Installation, testing and Commissioning of 11KV/433 V, 250 KVA transformer at Directorate of Health Services at Campal Panaji Goa.]",23-Sep-2025 06:00 PM,PUBLIC WORKS DEPARTMENT||CIRCLE - VII- Panaji||DIVISION - IV- Caranzalem,03-Oct-2025 03:00 PM,https://eprocure.goa.gov.in/nicgep/app?component=%24DirectLink&page=FrontEndLatestActiveCorrigendums&service=direct&session=T&sp=Sslj2pGkYIi%2F68z%2F7SSKmHw%3D%3D
2,2025_ESG_24677_1,1,[Appointment of Agency for the work of Supply and  Erection of infrastructure on hire basis for proposed Open Air Screening at various venues for 56th IFFI 2025],19-Sep-2025 06:00 PM,ENTERTAINMENT SOCIETY OF GOA||TECHNICAL,03-Oct-2025 02:00 PM,https://eprocure.goa.gov.in/nicgep/app?component=%24DirectLink&page=FrontEndLatestActiveCorrigendums&service=direct&session=T&sp=S48oQVQldTmPsrAFpttLFGA%3D%3D
3,2025_WRD_24527_1,1,[Construction of Open Crested Gated Weir across the Khandepar river  Renovation Improvement  Automation of existing LI scheme at Nirankal  to provide Irrigation  drinking water  to  Nirankal Vakdevat Kumbharwada Paaz in Ponda taluka.],12-Sep-2025 05:30 PM,WATER RESOURCE DEPARTMENT||CIRCLE V||DIVISION - III,10-Oct-2025 04:00 PM,https://eprocure.goa.gov.in/nicgep/app?component=%24DirectLink&page=FrontEndLatestActiveCorrigendums&service=direct&session=T&sp=S5%2FYXBMTThSiDfFEroFK3aQ%3D%3D
4,2025_GIDCo_24503_1,1,[Request for proposal for Selection of Service Provider for Solid Waste Management in Verna Industrial Estate Cluster under Goa Industrial Development Corporation (Goa-IDC).],11-Sep-2025 10:00 AM,Goa Industrial Development Corporation||Engineering Section,03-Oct-2025 05:00 PM,https://eprocure.goa.gov.in/nicgep/app?component=%24DirectLink&page=FrontEndLatestActiveCorrigendums&service=direct&session=T&sp=SXR%2Be4FVIk6Q5B3Irt0iDkA%3D%3D
5,2025_DOT_24416_1,1,"[RE-DEVELOPMENT, OPERATION AND MAINTENANCE AND  TRANSFER OF MARGAO BUS TERMINAL IN MARGAO, GOA ON  PUBLIC PRIVATE PARTNERSHIP (PPP) MODE]",05-Sep-2025 05:00 PM,DIRECTORATE OF TRANSPORT,21-Oct-2025 03:00 PM,https://eprocure.goa.gov.in/nicgep/app?component=%24DirectLink&page=FrontEndLatestActiveCorrigendums&service=direct&session=T&sp=Sh2iiOdTuDxPkCFQLZuSJlw%3D%3D
6,2025_DOT_24419_1,1,"[RE-DEVELOPMENT, OPERATION AND MAINTENANCE AND  TRANSFER OF MAPUSA BUS TERMINAL IN MAPUSA, GOA ON  PUBLIC PRIVATE PARTNERSHIP (PPP) MODE ]",05-Sep-2025 05:00 PM,DIRECTORATE OF TRANSPORT,21-Oct-2025 03:00 PM,https://eprocure.goa.gov.in/nicgep/app?component=%24DirectLink&page=FrontEndLatestActiveCorrigendums&service=direct&session=T&sp=SKFK7A5%2Ff%2BQ7q65%2F68wMjvw%3D%3D
7,2025_DHS_24401_1,1,[Supply of Ayurvedic Medicines],02-Sep-2025 05:00 PM,Directorate Of Health Services||Medical Store Department Section,14-Oct-2025 05:00 PM,https://eprocure.goa.gov.in/nicgep/app?component=%24DirectLink&page=FrontEndLatestActiveCorrigendums&service=direct&session=T&sp=S1dwNedSxwknLQgOLxkJYTA%3D%3D
8,2025_WRD_24379_1,1,[Selection of Consultant for providing Consultancy and Transaction Advisory Services for Coastal Erosion Mitigation Works at critical and vulnerable locations along the Goa coastline ],30-Aug-2025 11:00 AM,WATER RESOURCE DEPARTMENT||CIRCLE V||DIVISION - III,03-Oct-2025 04:00 PM,https://eprocure.goa.gov.in/nicgep/app?component=%24DirectLink&page=FrontEndLatestActiveCorrigendums&service=direct&session=T&sp=SXKCNIZPV%2F3D%2BKVV0VAzRig%3D%3D
9,2025_GTDCL_24368_1,1,"[Redevelopment, Operations and Maintenance of GTDC Residency at Vasco, Goa on Private Investment Mode]",26-Aug-2025 06:00 PM,Goa Tourism Development Corporation Limited||HEAD OFFICE||Finance/Accounts,15-Oct-2025 03:30 PM,https://eprocure.goa.gov.in/nicgep/app?component=%24DirectLink&page=FrontEndLatestActiveCorrigendums&service=direct&session=T&sp=ST3aUMTC4ius7OV65H6BJBQ%3D%3D
10,2025_DF_24358_1,1,"[Setting up of Multispecies Marine Fish Hatchery, on PPP  basis]",26-Aug-2025 09:00 AM,Directorate of Fisheries||Aquaculture Section,23-Oct-2025 05:00 PM,https://eprocure.goa.gov.in/nicgep/app?component=%24DirectLink&page=FrontEndLatestActiveCorrigendums&service=direct&session=T&sp=SaAiEY5x%2B9JuJesDaTAFLVQ%3D%3D
